run_date,site,url,strategy,perf_score,field_source,field_overall,field_LCP_ms,field_LCP_cat,field_INP_ms,field_INP_cat,field_CLS,field_CLS_cat,field_FCP_ms,field_FCP_cat,field_TTFB_ms,field_TTFB_cat,lab_LCP_ms,lab_CLS,lab_TBT_ms,lab_FCP_ms,lab_SI_ms,error
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/state-of-the-art-technology/,mobile,96,none,,,,,,,,,,,,2852,0,0,936,936,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/state-of-the-art-technology/,desktop,100,none,,,,,,,,,,,,642,0,0,275,431,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/accessibility-statement/,mobile,98,none,,,,,,,,,,,,2327,0,0,968,2369,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/accessibility-statement/,desktop,100,none,,,,,,,,,,,,502,0,0,268,354,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/los-angeles-dental-collective/,mobile,99,none,,,,,,,,,,,,2027,0.023,0,942,942,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/los-angeles-dental-collective/,desktop,100,none,,,,,,,,,,,,522,0.006,0,262,337,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/online-referral-form/,mobile,83,none,,,,,,,,,,,,2028,0.289,41,913,3941,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/online-referral-form/,desktop,90,none,,,,,,,,,,,,446,0.191,7,261,1388,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/finances-insurance/,mobile,95,none,,,,,,,,,,,,2703,0,0,928,3757,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/finances-insurance/,desktop,100,none,,,,,,,,,,,,628,0.005,0,418,746,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/about-la-periodontics-dental-implant-center/,mobile,77,none,,,,,,,,,,,,5703,0,0,932,3784,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/about-la-periodontics-dental-implant-center/,desktop,98,none,,,,,,,,,,,,1142,0.008,0,284,385,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/why-choose-us/,mobile,98,none,,,,,,,,,,,,2252,0.002,0,942,2096,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/why-choose-us/,desktop,100,none,,,,,,,,,,,,522,0.006,0,271,833,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/gum-graft/,mobile,88,none,,,,,,,,,,,,3902,0.001,0,945,2569,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/gum-graft/,desktop,100,none,,,,,,,,,,,,793,0.006,0,325,683,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/post-operative-instructions/,mobile,96,none,,,,,,,,,,,,2702,0.004,0,932,932,
2026-08-02,Premier LA Perio,https://laperioimplantcenter.com/post-operative-instructions/,desktop,100,none,,,,,,,,,,,,622,0.005,18,303,433,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/,mobile,65,none,,,,,,,,,,,,6546,0.005,0,3888,5505,
